cedula,nombre,correo
0102030405,Juan Pérez,jperez@gmail.com
0203040506,María García,mgarcia@hotmail.com
0304050607,Luis Rodríguez,lrodriguez@yahoo.com
0405060708,Ana Sánchez,asanchez@outlook.com
0506070809,Carlos Torres,ctorres@bing.com
0607080910,Laura González,lgonzalez@ecuador.com
0708091011,José López,jlopez@msn.com
0809101112,Sofía Martínez,smartinez@edu.ec
0910111213,Daniel Ramírez,dramirez@protonmail.com
1011121314,Claudia Morales,cmorales@gmail.ec
1112131415,Miguel Gómez,mgomez@facebook.com
1213141516,Carmen Ortiz,cortiz@twitter.com
1314151617,Diego Vásquez,dvasquez@instagram.com
1415161718,Elena Díaz,ediaz@tiktok.com
1516171819,Fernando Ruiz,fruiz@snapchat.com
1617181920,Sara Castillo,scastillo@netflix.com
1718192021,Jorge Jiménez,jjimenez@amazon.com
1819202122,Rosa Herrera,rherrera@spotify.com
1920212223,Mario Fernández,mfernandez@disney.com
2021222324,Cristina Vega,cvega@apple.com
